"","link","Received","Revised","Accepted","Published","Special_issue","days","is_s_issue"
"41","https://www.mdpi.com/2073-4336/13/3/39",2022-03-26,2022-04-25,2022-05-07,2022-05-17,"(This article belongs to the Special Issue A Yin and Yang Perspective on the Trust Game: Trust and Reciprocity)
",52,"Yes"
"42","https://www.mdpi.com/2073-4336/13/3/38",2022-03-30,2022-04-28,2022-05-10,2022-05-12,"(This article belongs to the Section Applied Game Theory)
",43,"Yes"
"43","https://www.mdpi.com/2073-4336/13/3/37",2022-03-28,2022-04-20,2022-05-02,2022-05-07,"",40,"No"
"44","https://www.mdpi.com/2073-4336/13/3/36",2022-03-23,2022-04-24,2022-04-26,2022-04-29,"",37,"No"
"45","https://www.mdpi.com/2073-4336/13/3/35",2022-03-31,2022-04-20,2022-04-27,2022-04-28,"(This article belongs to the Topic Game Theory and Applications)
",28,"Yes"
"46","https://www.mdpi.com/2073-4336/13/3/34",2022-02-19,2022-03-20,2022-04-08,2022-04-21,"",61,"No"
"47","https://www.mdpi.com/2073-4336/13/3/33",2022-03-14,2022-04-02,2022-04-15,2022-04-20,"(This article belongs to the Topic Game Theory and Applications)
",37,"Yes"
"48","https://www.mdpi.com/2073-4336/13/2/32",2022-03-16,2022-03-28,2022-04-11,2022-04-14,"",29,"No"
"49","https://www.mdpi.com/2073-4336/13/2/31",2022-03-10,2022-04-01,2022-04-11,2022-04-13,"(This article belongs to the Section Behavioral and Experimental Game Theory)
",34,"Yes"
"50","https://www.mdpi.com/2073-4336/13/2/30",2022-02-18,2022-04-01,2022-04-06,2022-04-11,"(This article belongs to the Special Issue Developing and Testing Theories of Decision Making)
",52,"Yes"
"51","https://www.mdpi.com/2073-4336/13/2/29",2022-03-23,2022-03-29,2022-03-30,2022-04-01,"(This article belongs to the Special Issue Economics of Conflict and Terrorism)
",9,"Yes"
"52","https://www.mdpi.com/2073-4336/13/2/28",2022-03-01,2022-03-21,2022-03-25,2022-03-31,"(This article belongs to the Topic Game Theory and Applications)
",30,"Yes"
"53","https://www.mdpi.com/2073-4336/13/2/27",2021-12-02,2022-03-03,2022-03-22,2022-03-31,"(This article belongs to the Special Issue Political Economy, Social Choice and Game Theory",119,"Yes"
"54","https://www.mdpi.com/2073-4336/13/2/26",2021-11-24,2022-01-28,2022-02-22,2022-03-30,"(This article belongs to the Special Issue Social Dilemmas and Other-Regarding Preferences)
",126,"Yes"
"55","https://www.mdpi.com/2073-4336/13/2/25",2022-03-02,2022-03-25,2022-03-28,2022-03-30,"",28,"No"
"56","https://www.mdpi.com/2073-4336/13/2/24",2022-03-08,2022-03-18,2022-03-24,2022-03-25,"(This article belongs to the Special Issue Advances in the Theory and Applications of Contests and Tournaments)
",17,"Yes"
"57","https://www.mdpi.com/2073-4336/13/2/23",2022-02-10,2022-03-07,2022-03-08,2022-03-10,"(This article belongs to the Special Issue Group Behaviour)
",28,"Yes"
"58","https://www.mdpi.com/2073-4336/13/2/22",2021-11-27,2022-01-24,2022-02-25,2022-03-03,"(This article belongs to the Special Issue Political Economy, Social Choice and Game Theory",96,"Yes"
"59","https://www.mdpi.com/2073-4336/13/2/21",2022-01-14,2022-02-13,2022-02-14,2022-02-23,"(This article belongs to the Special Issue Weighted Majority Voting Games)
",40,"Yes"
"60","https://www.mdpi.com/2073-4336/13/2/20",2021-10-09,2022-01-19,2022-02-14,2022-02-22,"(This article belongs to the Special Issue Social Learning and Cultural Evolution)
",136,"Yes"
"61","https://www.mdpi.com/2073-4336/13/1/19",2021-11-22,2022-01-13,2022-01-27,2022-02-09,"(This article belongs to the Section Algorithmic and Computational Game Theory)
",79,"Yes"
"62","https://www.mdpi.com/2073-4336/13/1/18",2021-10-07,2022-01-17,2022-01-19,2022-02-07,"(This article belongs to the Special Issue Weighted Majority Voting Games)
",123,"Yes"
"63","https://www.mdpi.com/2073-4336/13/1/17",2021-10-27,2022-01-25,2022-01-26,2022-01-28,"",93,"No"
"64","https://www.mdpi.com/2073-4336/13/1/16",2022-01-28,NA,NA,NA,"",NA,"No"
"65","https://www.mdpi.com/2073-4336/13/1/15",2021-12-14,2022-01-19,2022-01-21,2022-01-26,"(This article belongs to the Special Issue Behavioral Contract Theory)
",43,"Yes"
"66","https://www.mdpi.com/2073-4336/13/1/14",2021-12-16,2022-01-15,2022-01-19,2022-01-22,"(This article belongs to the Special Issue Group Behaviour)
",37,"Yes"
"67","https://www.mdpi.com/2073-4336/13/1/13",2021-12-27,2022-01-10,2022-01-14,2022-01-20,"(This article belongs to the Special Issue Developing and Testing Theories of Decision Making)
",24,"Yes"
"68","https://www.mdpi.com/2073-4336/13/1/12",2021-12-01,2022-01-07,2022-01-14,2022-01-19,"(This article belongs to the Special Issue Economics of Conflict and Terrorism)
",49,"Yes"
"69","https://www.mdpi.com/2073-4336/13/1/11",2021-11-17,2022-01-08,2022-01-12,2022-01-17,"(This article belongs to the Special Issue Weighted Majority Voting Games)
",61,"Yes"
"70","https://www.mdpi.com/2073-4336/13/1/10",2021-10-23,2021-12-29,2022-01-05,2022-01-10,"",79,"No"
"71","https://www.mdpi.com/2073-4336/13/1/9",2021-11-27,2021-12-22,2021-12-23,2021-12-30,"(This article belongs to the Section Non-Cooperative Game Theory)
",33,"Yes"
"72","https://www.mdpi.com/2073-4336/13/1/8",2021-10-01,2021-12-14,2021-12-21,2021-12-30,"(This article belongs to the Special Issue Group Behaviour)
",90,"Yes"
"73","https://www.mdpi.com/2073-4336/13/1/7",2021-11-02,2021-12-16,2021-12-22,2021-12-28,"(This article belongs to the Special Issue Social Learning and Cultural Evolution)
",56,"Yes"
"74","https://www.mdpi.com/2073-4336/13/1/6",2021-11-23,2021-12-20,2021-12-22,2021-12-26,"(This article belongs to the Special Issue Weighted Majority Voting Games)
",33,"Yes"
"75","https://www.mdpi.com/2073-4336/13/1/5",2021-11-03,2021-12-12,2021-12-21,2021-12-26,"(This article belongs to the Special Issue Weighted Majority Voting Games)
",53,"Yes"
"76","https://www.mdpi.com/2073-4336/13/1/4",2021-10-19,2021-12-09,2021-12-16,2021-12-23,"",65,"No"
"77","https://www.mdpi.com/2073-4336/13/1/3",2021-10-31,2021-12-13,2021-12-21,2021-12-23,"(This article belongs to the Special Issue Group Behaviour)
",53,"Yes"
"78","https://www.mdpi.com/2073-4336/13/1/2",2021-11-19,2021-12-09,2021-12-15,2021-12-21,"(This article belongs to the Section Algorithmic and Computational Game Theory)
",32,"Yes"
"79","https://www.mdpi.com/2073-4336/13/1/1",2021-10-11,2021-12-09,2021-12-13,2021-12-21,"(This article belongs to the Special Issue Economics of Conflict and Terrorism)
",71,"Yes"
"80","https://www.mdpi.com/2073-4336/12/4/95",2021-07-09,2021-12-13,2021-12-13,2021-12-17,"(This article belongs to the Special Issue Game Theory in Social Networks)
",161,"Yes"
"81","https://www.mdpi.com/2073-4336/12/4/94",2021-10-21,2021-12-06,2021-12-09,2021-12-14,"(This article belongs to the Special Issue Weighted Majority Voting Games)
",54,"Yes"
"82","https://www.mdpi.com/2073-4336/12/4/93",2021-10-27,2021-11-30,2021-12-03,2021-12-12,"",46,"No"
"83","https://www.mdpi.com/2073-4336/12/4/92",2021-09-27,2021-12-03,2021-12-03,2021-12-07,"(This article belongs to the Special Issue Weighted Majority Voting Games)
",71,"Yes"
"84","https://www.mdpi.com/2073-4336/12/4/91",2021-10-18,2021-11-30,2021-12-02,2021-12-06,"(This article belongs to the Special Issue Weighted Majority Voting Games)
",49,"Yes"
"85","https://www.mdpi.com/2073-4336/12/4/90",2021-10-27,2021-11-27,2021-11-30,2021-12-03,"(This article belongs to the Section Behavioral and Experimental Game Theory)
",37,"Yes"
"86","https://www.mdpi.com/2073-4336/12/4/89",2021-10-18,2021-11-14,2021-11-21,2021-11-23,"(This article belongs to the Special Issue Social Learning and Cultural Evolution)
",36,"Yes"
"87","https://www.mdpi.com/2073-4336/12/4/88",2021-10-14,2021-11-11,2021-11-17,2021-11-19,"",36,"No"
"88","https://www.mdpi.com/2073-4336/12/4/87",2021-07-05,2021-10-24,2021-11-04,2021-11-18,"(This article belongs to the Special Issue Political Economy, Social Choice and Game Theory",136,"Yes"
"89","https://www.mdpi.com/2073-4336/12/4/86",2021-09-29,2021-10-29,2021-11-04,2021-11-09,"(This article belongs to the Special Issue Developing and Testing Theories of Decision Making)
",41,"Yes"
"90","https://www.mdpi.com/2073-4336/12/4/85",2021-09-16,2021-10-21,2021-10-24,2021-11-01,"",46,"No"
"91","https://www.mdpi.com/2073-4336/12/4/84",2021-10-13,2021-10-22,2021-10-29,NA,"(This article belongs to the Special Issue Social Norm and Risk Attitudes)
",NA,"Yes"
"92","https://www.mdpi.com/2073-4336/12/4/83",2021-06-25,2021-10-09,2021-10-12,2021-10-26,"(This article belongs to the Special Issue Behavioral Coalition Formation: Theory and Experiments)
",123,"Yes"
"93","https://www.mdpi.com/2073-4336/12/4/82",2021-09-08,2021-10-18,2021-10-22,2021-10-26,"",48,"No"
"94","https://www.mdpi.com/2073-4336/12/4/81",2021-09-15,2021-10-08,2021-10-18,2021-10-26,"(This article belongs to the Special Issue Economics of Conflict and Terrorism)
",41,"Yes"
"95","https://www.mdpi.com/2073-4336/12/4/80",2021-08-04,2021-10-02,2021-10-11,2021-10-25,"(This article belongs to the Special Issue Communication, Cartels and Collusion)
",82,"Yes"
"96","https://www.mdpi.com/2073-4336/12/4/79",2021-08-27,2021-10-11,2021-10-19,2021-10-25,"",59,"No"
"97","https://www.mdpi.com/2073-4336/12/4/78",2021-09-06,2021-10-12,2021-10-14,2021-10-23,"(This article belongs to the Section Applied Game Theory)
",47,"Yes"
"98","https://www.mdpi.com/2073-4336/12/4/77",2021-08-30,2021-10-08,2021-10-13,2021-10-20,"(This article belongs to the Section Learning and Evolution in Games)
",51,"Yes"
"99","https://www.mdpi.com/2073-4336/12/4/76",2021-08-01,2021-10-03,2021-10-06,2021-10-12,"(This article belongs to the Special Issue Weighted Majority Voting Games)
",72,"Yes"
"100","https://www.mdpi.com/2073-4336/12/4/75",2021-07-21,2021-09-28,2021-09-29,2021-10-03,"(This article belongs to the Section Behavioral and Experimental Game Theory)
",74,"Yes"
"101","https://www.mdpi.com/2073-4336/12/4/74",2021-08-23,2021-09-21,2021-09-23,2021-10-01,"(This article belongs to the Special Issue Weighted Majority Voting Games)
",39,"Yes"
"102","https://www.mdpi.com/2073-4336/12/4/73",2021-06-21,2021-09-13,2021-09-23,2021-09-30,"",101,"No"
"103","https://www.mdpi.com/2073-4336/12/4/72",2021-07-20,2021-09-16,2021-09-24,2021-09-27,"(This article belongs to the Section Applied Game Theory)
",69,"Yes"
"104","https://www.mdpi.com/2073-4336/12/3/71",2021-07-26,2021-09-04,2021-09-13,2021-09-18,"(This article belongs to the Special Issue The Impact of Stability, Fairness, and Other Desirable Properties in Multi-Agent Systems)
",54,"Yes"
"105","https://www.mdpi.com/2073-4336/12/3/70",2021-07-16,2021-08-24,2021-09-04,2021-09-16,"(This article belongs to the Special Issue Psychological Perspectives on Simple Games)
",62,"Yes"
"106","https://www.mdpi.com/2073-4336/12/3/69",2021-09-07,2021-09-09,2021-09-09,2021-09-16,"(This article belongs to the Special Issue Pro-sociality and Cooperation)
",9,"Yes"
"107","https://www.mdpi.com/2073-4336/12/3/68",2021-06-18,2021-09-07,2021-09-08,2021-09-16,"(This article belongs to the Special Issue Cooperation, Innovation and Safeguarding of the Environment)
",90,"Yes"
"108","https://www.mdpi.com/2073-4336/12/3/67",2021-03-15,2021-09-03,2021-09-07,2021-09-15,"(This article belongs to the Special Issue Advances in Research on Social Dilemmas)
",184,"Yes"
"109","https://www.mdpi.com/2073-4336/12/3/66",2021-06-15,2021-08-05,2021-08-20,2021-09-03,"(This article belongs to the Special Issue External Validity and Choice-Process Data of Lab Measures on Social Preference Games)
",80,"Yes"
"110","https://www.mdpi.com/2073-4336/12/3/65",2021-07-05,2021-08-01,2021-08-16,2021-08-19,"(This article belongs to the Section Cooperative Game Theory and Bargaining)
",45,"Yes"
"111","https://www.mdpi.com/2073-4336/12/3/64",2021-05-25,2021-08-10,2021-08-11,2021-08-17,"(This article belongs to the Special Issue Behavioral Coalition Formation: Theory and Experiments)
",84,"Yes"
"112","https://www.mdpi.com/2073-4336/12/3/63",2021-05-06,2021-07-21,2021-07-27,2021-08-01,"(This article belongs to the Special Issue Pro-sociality and Cooperation)
",87,"Yes"
"113","https://www.mdpi.com/2073-4336/12/3/62",2021-05-18,2021-07-19,2021-07-27,2021-07-31,"(This article belongs to the Special Issue Psychological Perspectives on Simple Games)
",74,"Yes"
"114","https://www.mdpi.com/2073-4336/12/3/61",2021-06-14,2021-07-23,2021-07-30,2021-07-31,"(This article belongs to the Special Issue Social and Economic Networks)
",47,"Yes"
"115","https://www.mdpi.com/2073-4336/12/3/60",2021-06-27,2021-07-19,2021-07-27,2021-07-29,"(This article belongs to the Special Issue Game Theory in Social Networks)
",32,"Yes"
"116","https://www.mdpi.com/2073-4336/12/3/59",2021-06-28,2021-07-20,2021-07-27,2021-07-29,"(This article belongs to the Special Issue Communication, Cartels and Collusion)
",31,"Yes"
"117","https://www.mdpi.com/2073-4336/12/3/58",2021-06-13,2021-07-08,2021-07-12,2021-07-22,"(This article belongs to the Section Behavioral and Experimental Game Theory)
",39,"Yes"
"118","https://www.mdpi.com/2073-4336/12/3/57",2021-05-02,2021-07-02,2021-07-05,2021-07-07,"(This article belongs to the Special Issue Developing and Testing Theories of Decision Making)
",66,"Yes"
"119","https://www.mdpi.com/2073-4336/12/3/56",2021-04-26,2021-06-23,2021-06-28,2021-07-05,"(This article belongs to the Special Issue Game Theory in Social Networks)
",70,"Yes"
"120","https://www.mdpi.com/2073-4336/12/3/55",2021-06-04,2021-06-24,2021-06-29,2021-07-02,"(This article belongs to the Special Issue Game Theory in Social Networks)
",28,"Yes"
"121","https://www.mdpi.com/2073-4336/12/3/54",2021-04-28,2021-05-31,2021-06-23,2021-06-30,"(This article belongs to the Special Issue Economics of Conflict and Terrorism)
",63,"Yes"
"122","https://www.mdpi.com/2073-4336/12/3/53",2021-02-22,2021-06-22,2021-06-23,2021-06-25,"(This article belongs to the Special Issue Social Coordination Games)
",123,"Yes"
"123","https://www.mdpi.com/2073-4336/12/3/52",2021-04-30,2021-05-24,2021-05-28,2021-06-22,"(This article belongs to the Special Issue Psychological Perspectives on Simple Games)
",53,"Yes"
"124","https://www.mdpi.com/2073-4336/12/2/51",2021-04-09,2021-06-04,2021-06-11,2021-06-21,"(This article belongs to the Special Issue Weighted Majority Voting Games)
",73,"Yes"
"125","https://www.mdpi.com/2073-4336/12/2/50",2021-03-31,2021-05-31,2021-06-04,2021-06-10,"(This article belongs to the Special Issue Advances in Research on Social Dilemmas)
",71,"Yes"
"126","https://www.mdpi.com/2073-4336/12/2/49",2021-04-14,2021-05-19,2021-05-28,2021-06-10,"",57,"No"
"127","https://www.mdpi.com/2073-4336/12/2/48",2021-03-25,2021-05-24,2021-05-26,2021-06-01,"(This article belongs to the Special Issue Pro-sociality and Cooperation)
",68,"Yes"
"128","https://www.mdpi.com/2073-4336/12/2/47",2021-04-28,2021-05-27,2021-05-28,2021-06-01,"(This article belongs to the Special Issue Economics of Conflict and Terrorism)
",34,"Yes"
"129","https://www.mdpi.com/2073-4336/12/2/46",2021-02-19,2021-04-16,2021-04-22,2021-05-24,"",94,"No"
"130","https://www.mdpi.com/2073-4336/12/2/45",2021-04-02,2021-05-07,2021-05-18,2021-05-22,"(This article belongs to the Special Issue Cooperation, Innovation and Safeguarding of the Environment)
",50,"Yes"
"131","https://www.mdpi.com/2073-4336/12/2/44",2021-01-29,2021-05-12,2021-05-17,2021-05-21,"(This article belongs to the Special Issue Experiments on Dishonesty in Strategic Interactions)
",112,"Yes"
"132","https://www.mdpi.com/2073-4336/12/2/43",2021-04-15,2021-04-27,2021-05-17,NA,"(This article belongs to the Special Issue School Choice)
",NA,"Yes"
"133","https://www.mdpi.com/2073-4336/12/2/42",2021-03-22,2021-04-26,2021-04-30,2021-05-08,"",47,"No"
"134","https://www.mdpi.com/2073-4336/12/2/41",2021-01-12,2021-04-18,2021-04-25,2021-05-06,"(This article belongs to the Special Issue Advances in Research on Social Dilemmas)
",114,"Yes"
"135","https://www.mdpi.com/2073-4336/12/2/40",2021-03-24,2021-04-18,2021-04-29,2021-05-06,"",43,"No"
"136","https://www.mdpi.com/2073-4336/12/2/39",2021-03-24,2021-04-08,2021-04-16,2021-05-06,"",43,"No"
"137","https://www.mdpi.com/2073-4336/12/2/38",2021-01-29,2021-03-18,2021-04-19,2021-04-26,"(This article belongs to the Special Issue Experiments on Dishonesty in Strategic Interactions)
",87,"Yes"
"138","https://www.mdpi.com/2073-4336/12/2/37",2021-02-09,2021-03-14,2021-04-06,2021-04-25,"(This article belongs to the Special Issue School Choice)
",75,"Yes"
"139","https://www.mdpi.com/2073-4336/12/2/36",2021-03-15,2021-03-29,2021-04-13,2021-04-15,"(This article belongs to the Special Issue Social and Economic Networks)
",31,"Yes"
"140","https://www.mdpi.com/2073-4336/12/2/35",2021-03-05,2021-03-23,2021-04-08,2021-04-13,"(This article belongs to the Special Issue Economics of Conflict and Terrorism)
",39,"Yes"
"141","https://www.mdpi.com/2073-4336/12/2/34",2021-03-10,2021-04-08,2021-04-09,2021-04-12,"",33,"No"
"142","https://www.mdpi.com/2073-4336/12/2/33",2021-03-03,2021-03-22,2021-03-25,2021-04-09,"(This article belongs to the Special Issue School Choice)
",37,"Yes"
"143","https://www.mdpi.com/2073-4336/12/2/32",2021-03-17,2021-03-30,2021-04-06,2021-04-09,"(This article belongs to the Special Issue Pro-sociality and Cooperation)
",23,"Yes"
"144","https://www.mdpi.com/2073-4336/12/2/31",2021-02-27,2021-03-25,2021-04-06,2021-04-08,"(This article belongs to the Special Issue School Choice)
",40,"Yes"
"145","https://www.mdpi.com/2073-4336/12/2/30",2021-01-30,2021-03-19,2021-03-26,2021-04-01,"(This article belongs to the Special Issue Social Coordination Games)
",61,"Yes"
"146","https://www.mdpi.com/2073-4336/12/1/29",2021-03-15,2021-03-15,2021-03-22,NA,"(This article belongs to the Special Issue Optimal Control Theory)
",NA,"Yes"
"147","https://www.mdpi.com/2073-4336/12/1/28",2021-02-25,2021-03-10,2021-03-15,2021-03-19,"",22,"No"
"148","https://www.mdpi.com/2073-4336/12/1/27",2021-01-26,2021-03-10,2021-03-16,2021-03-18,"(This article belongs to the Special Issue Cooperation, Innovation and Safeguarding of the Environment)
",51,"Yes"
"149","https://www.mdpi.com/2073-4336/12/1/26",2020-11-29,2021-03-03,2021-03-05,2021-03-16,"(This article belongs to the Special Issue Limited Attention)
",107,"Yes"
"150","https://www.mdpi.com/2073-4336/12/1/25",2021-01-04,2021-02-19,2021-02-25,2021-03-04,"(This article belongs to the Special Issue Social Dilemmas and Other-Regarding Preferences)
",59,"Yes"
"151","https://www.mdpi.com/2073-4336/12/1/24",2021-01-09,2021-02-10,2021-02-19,2021-03-03,"(This article belongs to the Special Issue Laboratory Experiments: Cooperation, Sanctions and Norms)
",53,"Yes"
"152","https://www.mdpi.com/2073-4336/12/1/23",2020-11-30,2021-02-23,2021-03-01,2021-03-03,"(This article belongs to the Special Issue Optimal Control Theory)
",93,"Yes"
"153","https://www.mdpi.com/2073-4336/12/1/22",2021-01-27,2021-02-13,2021-02-26,2021-03-03,"(This article belongs to the Special Issue Behavioral Coalition Formation: Theory and Experiments)
",35,"Yes"
"154","https://www.mdpi.com/2073-4336/12/1/21",2021-01-12,2021-02-10,2021-02-19,2021-03-02,"(This article belongs to the Special Issue Limited Attention)
",49,"Yes"
"155","https://www.mdpi.com/2073-4336/12/1/20",2020-12-29,2021-02-08,2021-02-19,2021-03-01,"(This article belongs to the Special Issue Limited Attention)
",62,"Yes"
"156","https://www.mdpi.com/2073-4336/12/1/19",2021-02-18,2021-02-20,2021-02-24,NA,"(This article belongs to the Special Issue Experiments on Communication in Games)
",NA,"Yes"
"157","https://www.mdpi.com/2073-4336/12/1/18",2021-01-17,2021-02-14,2021-02-19,2021-02-22,"(This article belongs to the Special Issue Pro-sociality and Cooperation)
",36,"Yes"
"158","https://www.mdpi.com/2073-4336/12/1/17",2020-09-07,2021-01-11,2021-02-01,2021-02-05,"",151,"No"
"159","https://www.mdpi.com/2073-4336/12/1/16",2021-01-14,2021-01-26,2021-01-29,2021-02-04,"(This article belongs to the Special Issue Laboratory Experiments: Cooperation, Sanctions and Norms)
",21,"Yes"
"160","https://www.mdpi.com/2073-4336/12/1/15",2020-12-17,2021-01-19,2021-01-21,2021-02-03,"(This article belongs to the Special Issue Cooperation, Innovation and Safeguarding of the Environment)
",48,"Yes"
